模型,模型编号,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率,结果目录
baseline模型,baseline,400,133,0.3325,0.3375,641.14,0.3217,0.4367,0.0225,0.5396,实验/消融实验/zenodo_floating_wind_fmea/模块专项实验/Baseline_legacy兼容模型/实验结果
Full全量模型,Full,400,322,0.805,0.8175,217.01,0.4892,0.8054,0.0,0.7358,实验/消融实验/zenodo_floating_wind_fmea/模块专项实验/Full_全量模型/实验结果
Full-M1去除CSV直答模块,Full-M1,400,315,0.7875,0.8,370.38,0.2842,0.7762,0.0,0.6775,实验/消融实验/zenodo_floating_wind_fmea/模块专项实验/Full-M1_去除CSV直答模块/实验结果
Full-M2去除确定性规则问答模块,Full-M2,400,297,0.7425,0.7431,269.48,0.5608,0.7335,0.0,0.5921,实验/消融实验/zenodo_floating_wind_fmea/模块专项实验/Full-M2_去除确定性规则问答模块/实验结果
Full-M3去除查询理解与检索增强模块,Full-M3,400,313,0.7825,0.795,152.24,0.5142,0.7825,0.0,0.735,实验/消融实验/zenodo_floating_wind_fmea/模块专项实验/Full-M3_去除查询理解与检索增强模块/实验结果
Full-M4去除证据检查与路由裁决模块,Full-M4,400,301,0.7525,0.765,445.3,0.4892,0.8054,0.0,0.7358,实验/消融实验/zenodo_floating_wind_fmea/模块专项实验/Full-M4_去除证据检查与路由裁决模块/实验结果
